Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
21.0,Female,,5.89208,2.144394543565554,7.32363,5.462224378080117,,ENTP
24.0,Female,,2.48366,3.2061882098459846,8.06876,3.7650121889863,Unknown,INTP
26.0,Female,1.0,7.0291,6.469302076081513,4.16472,,Others,ESFP
30.0,Male,0.0,,4.179243896067972,2.82487,5.080477122685776,Sports,ENFJ
31.0,Female,0.0,3.59804,6.1892586127938705,5.31347,3.6779842332390262,Others,ISFP
33.0,Female,0.0,1.06869,7.143506853170251,3.84411,6.347241398682885,Sports,ISFJ
,Female,0.0,6.29802,6.2239025812460875,7.90633,6.705587885346524,Arts,ESTJ
27.0,Male,1.0,3.98957,4.406797471441495,5.09055,5.556499969939604,Technology,INFP
30.0,Male,0.0,1.55058,,0.57707,6.919573121189958,Unknown,ISFJ
26.0,Female,,7.02255,,9.49484,,,
32.0,Male,0.0,3.98624,6.287162951107969,1.83208,5.4471406369705075,Arts,ISFP
32.0,Male,0.0,4.53003,4.627212287964852,0.61009,5.558510043063894,,ENFP
27.0,Female,0.0,,6.6342978594613955,7.19146,,,ESTJ
,Male,0.0,1.01677,5.156651651547801,8.26066,,Arts,INTJ
31.0,Male,,1.14596,,2.98133,6.820404491369176,Others,ISFJ
28.0,Male,0.0,9.93171,6.81957266497821,8.98271,5.647164882432693,,
32.0,Female,0.0,5.61706,6.190430532139028,0.773,7.59879469015122,Others,ESFJ
40.0,Female,,8.07492,7.6442825740010285,1.7047,5.99300361450523,Arts,
26.0,Male,,2.75736,6.353615656074193,9.83251,6.232064240739422,Others,ISTJ
21.0,Female,0.0,1.29799,6.463862513874992,,,Sports,INTJ
,Male,1.0,0.28853,6.357330656184333,0.38543,,Unknown,ISFP
43.0,Male,1.0,2.66864,6.118689028665946,5.79244,,Sports,ISFP
25.0,Male,1.0,4.55792,6.292396072669123,3.87543,,Unknown,ISFP
25.0,Male,0.0,4.745,,8.6907,6.182199254391591,,ESTJ
24.0,Male,1.0,3.73142,2.3771482726171276,,,Arts,INFP
30.0,Male,0.0,8.11472,6.183239678028415,3.71172,7.205182648355343,Arts,ESFJ
26.0,Male,0.0,,7.243558377051012,,6.558666453268006,Unknown,ESFJ
26.0,Male,0.0,2.15134,6.034398069336277,7.1155,5.272596344398302,Sports,INTJ
